id,title,login_require,overview,vote_average,adult,backdrop_path,movie_id,original_language,original_title,popularity,poster_path,release_date,video,vote_count,status,trailer_url
95,Deadpool: No Good Deed,0,"Deadpool sees an opportunity to save the day, but it doesn't go entirely as planned.",7.142,0,/sUELHitVw5U0tOJg0x34wY7eTuh.jpg,558144,en,Deadpool: No Good Deed,254.759,/wlKU9yB0Q8nfPMakBcSBT0JGS7.jpg,2017-03-03,0,486,1,
96,Borderlands,0,"Returning to her home planet, an infamous outlaw forms an unexpected alliance with a team of unlikely heroes. Together, they battle alien monsters and dangerous bandits to find a missing girl who holds the key to unimaginable power.",7.4,0,/mKOBdgaEFguADkJhfFslY7TYxIh.jpg,365177,en,Borderlands,251.219,/qAGCCtv5HHiVGlqT2wGPZgc0kDj.jpg,2024-08-07,0,9,1,https://www.youtube.com/watch?v=Icnysn53neU
97,V for Victory,0,"A retired boxer will return to the ring to face his greatest rival, relying on his daughter, his friends and a famous trainer who will teach him to see the sport from new perspectives.",8.0,0,/4l5YyvCpjObnA2wUf34mDJFpG53.jpg,1200978,es,V de Víctor,249.567,/9QKLoe7hSPkhILm8nsuyblvCmu7.jpg,2024-05-16,0,1,1,
98,Trigger Warning,0,A Special Forces commando uncovers a dangerous conspiracy when she returns to her hometown looking for answers into her beloved father's death.,5.84,0,/aATi2PtaOQCVAquCym6OU0Z4FjY.jpg,704673,en,Trigger Warning,249.308,/lJN24nn28s5afC1UnLPYRgYOp1K.jpg,2024-06-20,0,372,1,https://www.youtube.com/watch?v=MnHTLh6ruW0
99,Alien: Romulus,0,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",0.0,0,/9SSEUrSqhljBMzRe4aBTh17rUaC.jpg,945961,en,Alien: Romulus,248.101,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,2024-08-14,0,0,1,https://www.youtube.com/watch?v=x0XDEhP4MQs
100,Once Upon a Deadpool,0,"A kidnapped Fred Savage is forced to endure Deadpool's PG-13 rendition of Deadpool 2 as a Princess Bride-esque story that's full of magic, wonder & zero F's.",7.097,0,/5ZSwZPKgcTJJwhxjbOHeoBTVaKh.jpg,567604,en,Once Upon a Deadpool,247.837,/5Ka49BWWyKMXr93YMbH5wLN7aAM.jpg,2018-12-11,0,735,1,https://www.youtube.com/watch?v=PCf03KXyzIg
101,Maleficent,0,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",7.091,0,/xjotE7aFdZ0D8aGriYjFOtDayct.jpg,102651,en,Maleficent,246.978,/bDG3yei6AJlEAK3A5wN7RwFXQ7V.jpg,2014-05-28,0,12898,1,https://www.youtube.com/watch?v=w-XO4XiRop0
102,Alienoid,0,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",6.882,0,/7ZP8HtgOIDaBs12krXgUIygqEsy.jpg,601796,ko,외계+인 1부,246.329,/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg,2022-07-20,0,385,1,https://www.youtube.com/watch?v=o-EkDnotuMc
103,John Wick: Chapter 4,0,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",7.745,0,/7I6VUdPj6tQECNHdviJkUHD2u89.jpg,603692,en,John Wick: Chapter 4,246.001,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023-03-22,0,6183,1,https://www.youtube.com/watch?v=yjRHZEUamCc
104,Fast X,0,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",7.108,0,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,385687,en,Fast X,244.422,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,0,5365,1,https://www.youtube.com/watch?v=eoOaKN4qCKw
105,Canceled,0,"Gone Ghosting is a popular ghost hunting team that earned millions from live broadcasts and selling merch. Lise, Catta, Sandro, and Polly join the group to live-stream a ghost hunt to prove that everything is real. They break into a place where legend says everyone has died and do the craziest broadcast ever live.",4.7,0,/juhNBu3B3B4ijVimeiUlAHFlooA.jpg,1070535,sv,Canceled,208.014,/kgtDMp1Qut4M92g2yTdX2YL9zh8.jpg,2023-08-25,0,8,1,
106,The Godfather,0,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.691,0,/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,238,en,The Godfather,272.846,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972-03-14,0,20168,1,https://www.youtube.com/watch?v=Ew9ngL1GZvs
107,Zandalee,0,"Bored with her marriage to burnt out poet turned corporate executive Thierry, Zandalee falls prey to an old friend of her husband, the manipulative and egotistical Johnny and becomes enmeshed in a sensual, passionate and destructive affair.",4.283,0,/lG236SGLln8fov2Przpbb8pL3Em.jpg,36630,en,Zandalee,272.386,/sW7nX30z07kmmstuI9S9s5ZSSAb.jpg,1991-05-09,0,78,1,https://www.youtube.com/watch?v=qYsyABPvtU0
108,Starve Acre,0,"When their son starts acting strangely, a couple unwittingly allow dark and sinister forces into their home, awakening a long-dormant ancient evil rooted deep in the countryside.",6.6,0,/f74BDYMlNCYf797Wj0guOzDXFyz.jpg,933090,en,Starve Acre,211.17,/5j37QHXuNygzEa2X54RMlOb6hj3.jpg,2024-07-26,0,13,1,https://www.youtube.com/watch?v=EttGYO0xTd8
109,El Halcón: Sed de Venganza,0,Criminals control Mexico and wrestling is now illegal. A retired fighter and a policewoman join forces to stop the perfidious criminal who has kidnapped her son.,8.397,0,/7KcwyOQL6hC6VJxN7LBB1p2GRaY.jpg,1197406,es,El Halcón: Sed de Venganza,190.785,/nUCkSoWsL9L77HdLFLCTiEyJlO7.jpg,2023-10-25,0,34,1,https://www.youtube.com/watch?v=y3vMLFvu_Co
110,The Beast,0,"In the near future where emotions have become a threat, Gabrielle finally decides to purify her DNA in a machine that will immerse her in her past lives and rid her of any strong feelings. She then meets Louis and feels a powerful connection, as if she had known him forever.",6.196,0,/psheU3eQROaYZ0HCbZ0QdbqsiWq.jpg,914206,fr,La Bête,225.586,/o42BrPukzRXlDi9KBCdClNqhlEr.jpg,2024-02-07,0,79,1,https://www.youtube.com/watch?v=cxjTAeaCWQc
111,La Familia del Barrio: La Película,0,El Noruego travels back in time and accidentally prevents the War of Independence by getting Miguel Hidalgo drunk before giving the cry.,7.84,0,/71mK8XRo1WnZczgRUYSwZJ169Ff.jpg,1308623,es,La Familia del Barrio: La Película,173.529,/9mOEVJCKUWMxTABooY1U0FSwfi6.jpg,2024-06-28,0,25,1,https://www.youtube.com/watch?v=UiV8ETlWKRY
112,SPY x FAMILY CODE: White,0,"While under the guise of taking his family on a weekend winter getaway, Loid's attempt to make progress on his current mission Operation Strix proves difficult when Anya mistakenly gets involved and triggers events that threaten world peace.",6.72,0,/18LFBhs0ZUM68BscioitOxr3HQ5.jpg,1062807,ja,劇場版 SPY×FAMILY CODE: White,203.055,/xlIQf4y9eB14iYzNN142tROIWON.jpg,2023-12-22,0,296,1,https://www.youtube.com/watch?v=7GSVjBzzekw
113,HAIKYU!! The Dumpster Battle,0,"Shoyo Hinata joins Karasuno High's volleyball club to be like his idol, a former Karasuno player known as the 'Little Giant'. But Hinata soon learns that he must team up with his middle school nemesis, Tobio Kageyama. Their clashing styles form a surprising weapon, but can their newfound teamwork defeat their rival Nekoma High in the highly anticipated 'Dumpster Battle', the long awaited ultimate showdown between two opposing underdog teams?",7.075,0,/cZmOrIOkJ2SNfVdiO85dUbOAYnL.jpg,1012201,ja,劇場版ハイキュー!! ゴミ捨て場の決戦,270.164,/ntRU0OA4etGGiMMmH1Yw0bnaMdW.jpg,2024-02-16,0,80,1,https://www.youtube.com/watch?v=jlU8bA9LtTM
